,_id,Autor,Text,examID,exam,type
0,{'$oid': '654b9ef3a096a9ae0630d512'},Eine morgenländische Erzählung,"[{'Zeile': 1, 'Text': 'Leisch war ein Tagelöhner in dem Lande Seistan. Da er sich wegen einer grossen Teuerung mit seiner'}, {'Zeile': 2, 'Text': 'Handarbeit nur schlecht ernähren konnte, so schlug er sich zu einer Räuberbande, bei welcher er sich durch'}, {'Zeile': 3, 'Text': 'seinen Mut und durch seine Klugheit bald in ein solches Ansehen setzte, dass sie ihn zu ihrem Anführer'}, {'Zeile': 4, 'Text': 'wählte. Diese Räuber wurden unter seiner Anführung endlich so kühn, dass sie sich vornahmen, den Schatz'}, {'Zeile': 5, 'Text': 'des Königs zu rauben. Sie brachen des Nachts ein und packten an Gold, Silber und Edelsteinen so viel'}, {'Zeile': 6, 'Text': 'zusammen, wie sie tragen konnten. Sie waren schon im Begriff, sich mit dem Raube davonzumachen, als'}, {'Zeile': 7, 'Text': 'Leisch oben an dem Gewölbe etwas Glänzendes schimmern sah. Er glaubte, es sei ein Stein von seltenem'}, {'Zeile': 8, 'Text': 'Werte; und da er sich mit beiden Händen festhalten musste, um hinaufzureichen, so berührte er ihn mit der'}, {'Zeile': 9, 'Text': 'Zunge und erkannte, dass es ein Salzstein sei. Er rief sogleich seinen Gefährten zu und bat sie, sich an dem'}, {'Zeile': 10, 'Text': 'König nicht zu versündigen und alles liegen zu lassen. „Ich habe Salz von dem König gegessen”, sprach'}, {'Zeile': 11, 'Text': 'er, „und ihr wisst, dass Brot und Salz als die beiden edelsten Geschenke, die uns Gott gegeben hat, den'}, {'Zeile': 12, 'Text': 'Menschen zur Treue gegen diejenigen verpflichten, bei welchen er sie genossen hat.” Seine Gefährten, die'}, {'Zeile': 13, 'Text': 'gegen diese alte väterliche Sitte gleiche Ehrfurcht trugen und ihren Anführer sehr liebten, liessen sich über-'}, {'Zeile': 14, 'Text': 'reden, schlossen die Türen wieder zu und gingen, ohne das Geringste zu entwenden, davon.'}, {'Zeile': 15, 'Text': 'Als der Schatzmeister des Königs den andern Tag hineinkam und an der Verwirrung, in welcher alles um-'}, {'Zeile': 16, 'Text': 'herlag, erkannte, dass ein Einbruch geschehen sei, wollte er sich diesen Zufall zunutze machen. Er trug'}, {'Zeile': 17, 'Text': 'einige Bündel mit Kostbarkeiten in sein Haus und versteckte sie in einem abgelegenen Winkel. Darauf lief'}, {'Zeile': 18, 'Text': 'er zum König, zerriss sich zum Zeichen der Verzweiflung das Kleid und schrie, dass man diese Nacht den'}, {'Zeile': 19, 'Text': 'königlichen Schatz bestohlen habe. Der Diebstahl belief sich auf viele Tausende. Man stellte gründliche'}, {'Zeile': 20, 'Text': 'Nachforschungen an und versprach denjenigen grosse Belohnung, die einen von den Räubern entdecken'}, {'Zeile': 21, 'Text': 'würden'}, {'Zeile': 22, 'Text': 'Der listige Leisch hatte durch einige seiner Gesellen von der Untreue des Schatzmeisters erfahren. Da er'}, {'Zeile': 23, 'Text': 'nun sah, dass man viele Unschuldige nicht nur in Verdacht hatte, sondern auch gefangen setzte, so konnte'}, {'Zeile': 24, 'Text': 'er dem guten Triebe seines Herzens nicht widerstehen. Er ging, ohne zu bedenken, was er wage, zum Wesir'}, {'Zeile': 25, 'Text': 'und gab an, er wisse, wer den Schatz gestohlen habe. Der Wesir führte ihn auf sein Begehren hin zum'}, {'Zeile': 26, 'Text': 'König. Leisch erzählte aufrichtig alles, wie es sich begeben hatte, und sagte zuletzt: Da er für die Treue und'}, {'Zeile': 27, 'Text': 'den Gehorsam seiner Untergebenen stehen könne, so wolle er seinen Kopf zum Pfande setzen, dass man'}, {'Zeile': 28, 'Text': 'den Raub bei dem Schatzmeister finden würde, wenn der König in dem Hause desselben wollte nachsuchen'}, {'Zeile': 29, 'Text': 'lassen.'}, {'Zeile': 30, 'Text': 'Der König erstaunte über des Räubers Erzählung und sandte sogleich in des Schatzmeisters Haus, wo man'}, {'Zeile': 31, 'Text': 'nach langem Suchen den Raub in einem heimlichen Gewölbe fand. Der Schatzmeister wurde gebunden'}, {'Zeile': 32, 'Text': 'zum König geführt. „Wie?”, redete der König ihn an, „ich habe dich in meinem Hause grossgezogen, ich'}, {'Zeile': 33, 'Text': 'habe dich mit Ehre und Wohltaten überhäuft, und du bist einer solchen Treulosigkeit fähig? Du bist selbst'}, {'Zeile': 34, 'Text': 'der Dieb und bringst unschuldige Leute in Verdacht, während ein Räuber, dem ich nie eine Wohltat erwie-'}, {'Zeile': 35, 'Text': 'sen habe, um ein wenig Salzes willen mein treuer Gastfreund wird, den Raub liegen lässt und seine Gefähr-'}, {'Zeile': 36, 'Text': 'ten zu gleicher Gewissenhaftigkeit bewegt! – Man führe ihn zum Tode”, sprach der König weiter, als der'}, {'Zeile': 37, 'Text': 'Schatzmeister verstummte. „Dich aber”, wandte er sich zum Räuber Leisch, „mache ich zu meinem neuen'}, {'Zeile': 38, 'Text': 'Schatzmeister.” Solange Leisch dieses Amt hatte, hörte man nie wieder von einer Beraubung des königli-'}, {'Zeile': 39, 'Text': 'chen Schatzes.'}]",5,Sprachprüfung ZAP1 (2018),lang
1,{'$oid': '654b9f73a096a9ae0630d513'},Georg Britting,"[{'Zeile': 1, 'Text': 'Ein Zug fuhr durch die Nacht, es war in England um die Jahrhundertwende. Der Zug sollte nach London,'}, {'Zeile': 2, 'Text': 'und er kam auch hin, aber viel später, als der Fahrplan es vorsah, drei Stunden später, doch die Reisenden'}, {'Zeile': 3, 'Text': 'murrten nicht darüber.'}, {'Zeile': 4, 'Text': 'Die Nacht war voll Nebel, und wer von den Reisenden nicht schlief und hie und da einen Blick durchs'}, {'Zeile': 5, 'Text': 'Fenster warf, konnte sehen, wie draussen die grauen Schleier gespenstisch vorüberwehten. Der nicht'}, {'Zeile': 6, 'Text': 'schlief, der Lokomotivführer, sah es auch und sah es nicht gern, wie es über den Schienen wirbelte und'}, {'Zeile': 7, 'Text': 'wogte. Er minderte die Fahrtgeschwindigkeit und sagte zu seinem Heizer, dass dieses Wetter der Teufel'}, {'Zeile': 8, 'Text': 'zusammengebraut haben müsse, und der Heizer war nicht andrer Meinung. Wachsam voranspähend, seine'}, {'Zeile': 9, 'Text': 'Griffe und Hebel vor sich, erblickte der Lokomotivführer auf einmal – und wollte fast seinen Augen nicht'}, {'Zeile': 10, 'Text': 'trauen – eine grosse, schwarze Gestalt mitten auf dem Gleis, die heftig die Arme schwenkte, wie eine'}, {'Zeile': 11, 'Text': 'Windmühle ihre Flügel.'}, {'Zeile': 12, 'Text': 'Ein tapferer Mann das, so schoss es dem Lokomotivführer durch den Kopf, der sein eigenes Leben gefähr-'}, {'Zeile': 13, 'Text': 'dete, das Leben anderer zu retten, es konnte auch eine Frau sein! Aber ob Mann oder Frau, darüber machte'}, {'Zeile': 14, 'Text': 'sich der Lokomotivführer natürlich keine Gedanken, er riss an den Bremsen und schleifend und knirschend'}, {'Zeile': 15, 'Text': 'kam der Zug zum Stehen. Er sprang von der Maschine, ihm nach der Heizer, und beide riefen in den Nebel'}, {'Zeile': 16, 'Text': 'hinein, was denn sei, aber niemand antwortete ihnen. Schon kamen die Schaffner und der Zugführer her-'}, {'Zeile': 17, 'Text': 'beigerannt und kletterten die ersten Reisenden aus ihren Abteilen und näherten sich, in der Nachtkühle'}, {'Zeile': 18, 'Text': 'fröstelnd. Nichts aber rührte sich im Nebel vor dem Zug. „Sicher ist sicher!“, sagte der weisshaarige Zug-'}, {'Zeile': 19, 'Text': 'führer und befahl, dass einer der Schaffner mit der Laterne eine Strecke auf den Schienen vorwärtsgehen'}, {'Zeile': 20, 'Text': 'solle, zu erkunden, ob alles seine rechte Ordnung habe. Der ging und kam bald wieder zurück, laufend'}, {'Zeile': 21, 'Text': 'diesmal, und atemlos keuchend berichtete er, tausend Meter voraus sei die Brücke, die dort über einen'}, {'Zeile': 22, 'Text': 'Fluss führte, eingestürzt.'}, {'Zeile': 23, 'Text': 'Die Zahl der Reisenden bei der Gruppe der Eisenbahner hatte sich vergrössert, und als sie hörten, was sich'}, {'Zeile': 24, 'Text': 'ereignet hatte, erbleichte mancher von ihnen und versuchte sein Zittern zu verbergen, und auch den Eisen-'}, {'Zeile': 25, 'Text': 'bahnern wurde es eng ums Herz. Aber sie liessen sich erst recht nichts anmerken: Sie waren ja im Dienst'}, {'Zeile': 26, 'Text': 'und hielten sich mannhaft wie Matrosen, deren Schiff in Seenot geraten ist. Gleich wurden Boten nach der'}, {'Zeile': 27, 'Text': 'nächsten Ortschaft geschickt, damit man von dort mit dem Fernsprecher überallhin den Brückeneinsturz'}, {'Zeile': 28, 'Text': 'melde und nicht andere Züge unerwartet ins Verderben führen. Das gab nun, lässt sich denken, einen ziem-'}, {'Zeile': 29, 'Text': 'lichen Wirrwarr auf der Strecke, Züge mussten angehalten und umgeleitet werden, und inzwischen war es'}, {'Zeile': 30, 'Text': '30 Tag geworden und auch der Nebel begann sich zu lichten. Ein Vermuten hob an, wer der Warner gewesen'}, {'Zeile': 31, 'Text': 'und wohin er gegangen und warum er gegangen, und eine zartfühlende Frau glaubte auch den Grund zu'}, {'Zeile': 32, 'Text': 'ahnen: Er sei, als er die Bremsen knirschen hörte, vom Bahndamm gesprungen und habe sich in die Nacht'}, {'Zeile': 33, 'Text': 'hinein lautlos entfernt, um sich den Danksagungen und einer Belohnung zu entziehen, ein Edelmann, wenn'}, {'Zeile': 34, 'Text': 'vielleicht auch im Bauernkittel.'}, {'Zeile': 35, 'Text': 'Erst als der Zug in London ankam, wurde man des Rätsels Lösung inne. Auf der Scheinwerferlampe, ein'}, {'Zeile': 36, 'Text': 'Putzer entdeckte es, klebte ein mächtiger, toter Nachtfalter. Das Tier war von dem Licht der Lampe ange-'}, {'Zeile': 37, 'Text': 'zogen worden und mit wildschlagenden Flügeln hatte es, schon sterbend, versucht sich zu befreien. Den'}, {'Zeile': 38, 'Text': 'Schatten seiner Bemühung, der sich riesengross und schwarz auf der Nebelwand abzeichnete, hatte der'}, {'Zeile': 39, 'Text': 'Lokomotivführer für einen warnenden Menschen gehalten. So segensreich kann es sein, sich zu irren!'}, {'Zeile': 40, 'Text': 'Männern, auch Frauen, die sich auszeichneten im Leben, im Krieg oder im Frieden, setzt man Denkmäler,'}, {'Zeile': 41, 'Text': 'sie zu ehren. Ein Denkmal nun setzte man dem Nachtfalter nicht. Aber er hängt, aufgespiesst auf seidenem'}, {'Zeile': 42, 'Text': 'Kissen, unter Glas an der Wand des Britischen Museums in London und eine Tafel darunter berichtet von'}, {'Zeile': 43, 'Text': 'seiner Rettungstat. So wenigstens hat man es mir erzählt und ich habe keinen Grund, es nicht zu glauben.'}]",4,Sprachprüfung ZAP1 (2017),lang
2,{'$oid': '6565f3550d0c8580ca87fe9a'},Alina Bronsky:,"[{'Zeile': 1, 'Text': 'In der Nacht weckt mich wieder Marjas Hahn'}, {'Zeile': 2, 'Text': 'Konstantin. Für Marja ist er eine Art Ersatz-'}, {'Zeile': 3, 'Text': 'mann. Sie hat ihn grossgezogen und schon als'}, {'Zeile': 4, 'Text': 'Küken gehätschelt und verwöhnt; jetzt ist er'}, {'Zeile': 5, 'Text': 'ausgewachsen und zu nichts zu gebrauchen.'}, {'Zeile': 6, 'Text': 'Seine innere Uhr ist durcheinander, schon im-'}, {'Zeile': 7, 'Text': 'mer gewesen. Aber ich glaube nicht, dass es'}, {'Zeile': 8, 'Text': 'mit der Strahlung zu tun hat. Man kann sie'}, {'Zeile': 9, 'Text': 'nicht für alles, was blöd zur Welt kommt, ver-'}, {'Zeile': 10, 'Text': 'antwortlich machen.'}, {'Zeile': 11, 'Text': 'Ich lupfe die Bettdecke und lasse die Füsse auf'}, {'Zeile': 12, 'Text': 'den Boden. Auf den Dielen liegt ein Vorleger,'}, {'Zeile': 13, 'Text': 'den ich aus alten, in Streifen gerissenen Laken'}, {'Zeile': 14, 'Text': 'geflochten habe. Im Winter habe ich viel Zeit,'}, {'Zeile': 15, 'Text': 'weil ich mich dann nicht um den Garten küm-'}, {'Zeile': 16, 'Text': 'mern muss. Selten gehe ich hinaus, nur um'}, {'Zeile': 17, 'Text': 'Wasser oder Holz zu holen oder um Schnee vor'}, {'Zeile': 18, 'Text': 'meiner Haustür zu schippen. Aber jetzt ist'}, {'Zeile': 19, 'Text': 'Sommer und ich bin frühmorgens auf den Bei-'}, {'Zeile': 20, 'Text': 'nen, um Marjas Hahn den Hals umzudrehen.'}, {'Zeile': 21, 'Text': 'Ich brauche ein paar Minuten, um den Kreis-'}, {'Zeile': 22, 'Text': 'lauf in Gang zu bringen. In meinem Kopf ist es'}, {'Zeile': 23, 'Text': 'ein bisschen schummrig. Marjas Hahn Kon-'}, {'Zeile': 24, 'Text': 'stantin kräht, als würde er gerade erwürgt.'}, {'Zeile': 25, 'Text': 'Vielleicht ist mir jemand zuvorgekommen.'}, {'Zeile': 26, 'Text': 'Ich nehme meinen Bademantel vom Stuhl, der'}, {'Zeile': 27, 'Text': 'einmal bunt mit roten Blumen vor schwarzem'}, {'Zeile': 28, 'Text': 'Hintergrund war. Jetzt sieht man die Blumen'}, {'Zeile': 29, 'Text': 'nicht mehr, aber er ist sauber, das ist mir wich-'}, {'Zeile': 30, 'Text': 'tig. Meine Tochter Irina hat mir versprochen,'}, {'Zeile': 31, 'Text': 'mir einen neuen zu schicken. Ich gehe in Rich-'}, {'Zeile': 32, 'Text': 'tung Tür. Die ersten Schritte nach dem Aufwa-'}, {'Zeile': 33, 'Text': 'chen sind immer langsam.'}, {'Zeile': 34, 'Text': 'Der Himmel hängt hellblau wie ein verwasche-'}, {'Zeile': 35, 'Text': 'nes Bettlaken über dem Dorf. Ein Stück Sonne'}, {'Zeile': 36, 'Text': 'ist zu sehen. Das will nicht in meinen Kopf,'}, {'Zeile': 37, 'Text': 'dass dieselbe Sonne für alle scheint: für die Kö-'}, {'Zeile': 38, 'Text': 'nigin von England, für den dunkelhäutigen'}, {'Zeile': 39, 'Text': 'Präsidenten von Amerika, für Irina in Deutsch-'}, {'Zeile': 40, 'Text': 'land, für Marjas Hahn Konstantin. Und für'}, {'Zeile': 41, 'Text': 'mich, Baba Dunja, die bis vor dreissig Jahren'}, {'Zeile': 42, 'Text': 'Frakturen geschient hat und Babys anderer'}, {'Zeile': 43, 'Text': 'Leute in Empfang genommen hat und heute be-'}, {'Zeile': 44, 'Text': 'beschliesst, eine Mörderin zu werden. Konstantin'}, {'Zeile': 45, 'Text': 'ist ein dummes Geschöpf, sein Lärm ist nutz-'}, {'Zeile': 46, 'Text': 'los. Ausserdem habe ich schon lange keine'}, {'Zeile': 47, 'Text': 'Hühnersuppe mehr gegessen.'}, {'Zeile': 48, 'Text': 'Der Hahn sitzt auf dem Zaun und schielt mich'}, {'Zeile': 49, 'Text': 'an. «Komm her, mein Schätzchen», sage ich.'}, {'Zeile': 50, 'Text': '«Komm, ich mach dich still.»'}, {'Zeile': 51, 'Text': 'Ich strecke die Hand aus. Er schlägt mit den'}, {'Zeile': 52, 'Text': 'Flügeln und kreischt. Sein Kehllappen ist eher'}, {'Zeile': 53, 'Text': 'grau als rosa und zittert nervös. Marja wird es'}, {'Zeile': 54, 'Text': 'mir nicht verzeihen, denke ich. Meine ausge-'}, {'Zeile': 55, 'Text': 'streckte Hand bleibt in der Luft hängen. Und'}, {'Zeile': 56, 'Text': 'dann, noch bevor ich den Hahn berührt habe,'}, {'Zeile': 57, 'Text': 'fällt er vor meine Füsse.'}, {'Zeile': 58, 'Text': 'Marja hat gesagt, es würde ihr das Herz bre-'}, {'Zeile': 59, 'Text': 'chen, also muss ich es tun. Sie sitzt bei mir auf'}, {'Zeile': 60, 'Text': 'dem Hof und schnäuzt sich in ein kariertes Ta-'}, {'Zeile': 61, 'Text': 'schentuch. Sie hat sich abgewandt, damit sie'}, {'Zeile': 62, 'Text': 'nicht sehen muss, wie ich die blass gesprenkel-'}, {'Zeile': 63, 'Text': 'ten Federn rupfe und in eine Plastiktüte werfe.'}, {'Zeile': 64, 'Text': 'Flaum schwebt in der Luft.'}, {'Zeile': 65, 'Text': '«Er hat mich geliebt», sagt sie. «Er hat mich'}, {'Zeile': 66, 'Text': 'immer so angeguckt, wenn ich in den Hof'}, {'Zeile': 67, 'Text': 'kam.»'}, {'Zeile': 68, 'Text': 'Die Tüte ist halb voll. Fast schon unanständig'}, {'Zeile': 69, 'Text': 'nackt liegt Konstantin auf meinem Schoss.'}, {'Zeile': 70, 'Text': 'Sein eines Auge ist halb offen und guckt zum'}, {'Zeile': 71, 'Text': 'Himmel.'}, {'Zeile': 72, 'Text': '«Schau», sagt sie. «Es sieht aus, als würde er'}, {'Zeile': 73, 'Text': 'noch zuhören.»'}, {'Zeile': 74, 'Text': '«Es gibt sicher nichts, was er von dir noch nicht'}, {'Zeile': 75, 'Text': 'gehört hat.»'}, {'Zeile': 76, 'Text': 'Das ist die Wahrheit. Marja hat immer mit ihm'}, {'Zeile': 77, 'Text': 'geredet. Das lässt mich befürchten, dass ich ab'}, {'Zeile': 78, 'Text': 'jetzt weniger Ruhe haben werde. Ausser mir'}, {'Zeile': 79, 'Text': 'braucht jeder Mensch jemanden zum Reden,'}, {'Zeile': 80, 'Text': 'und Marja ganz besonders. Ich bin ihre nächste'}, {'Zeile': 81, 'Text': 'Nachbarin, nur der Zaun trennt unsere Grund-'}, {'Zeile': 82, 'Text': 'stücke.'}, {'Zeile': 83, 'Text': '«Erzähl endlich, wie es genau passiert ist.»'}, {'Zeile': 84, 'Text': 'Marjas Stimme ist die einer Witwe.'}, {'Zeile': 85, 'Text': '«Ich habe es dir schon tausendmal erzählt. Ich'}, {'Zeile': 86, 'Text': 'bin aus dem Haus gekommen, weil er ge-'}, {'Zeile': 87, 'Text': 'schrien hat, und dann ist er mir plötzlich vom'}, {'Zeile': 88, 'Text': 'Zaun gekippt. Direkt vor meine Füsse.»'}, {'Zeile': 89, 'Text': '«Vielleicht hat ihn jemand verwünscht.»'}, {'Zeile': 90, 'Text': 'Ich nicke. Marja glaubt an so etwas. Tränen'}, {'Zeile': 91, 'Text': 'fliessen über ihr Gesicht und verschwinden in'}, {'Zeile': 92, 'Text': 'den tiefen Runzeln. Dabei ist sie mindestens'}, {'Zeile': 93, 'Text': 'zehn Jahre jünger als ich. Mit der Bildung hat'}, {'Zeile': 94, 'Text': 'sie es nicht so, sie ist von Beruf Melkerin, eine'}, {'Zeile': 95, 'Text': 'einfache Frau. Hier hat sie nicht einmal eine'}, {'Zeile': 96, 'Text': 'Kuh, aber immerhin eine Ziege, die bei ihr im'}, {'Zeile': 97, 'Text': 'Haus lebt und mit ihr fernsieht, wenn der Fern-'}, {'Zeile': 98, 'Text': 'seher etwas zeigt. So hat sie Gesellschaft von'}, {'Zeile': 99, 'Text': 'einem atmenden Wesen.'}, {'Zeile': 100, 'Text': '«Wer soll ihn schon verwünschen, deinen'}, {'Zeile': 101, 'Text': 'dummen Vogel?»'}, {'Zeile': 102, 'Text': '«Schsch. So spricht man nicht über einen To-'}, {'Zeile': 103, 'Text': 'ten. Und ausserdem, die Menschen sind böse.»'}, {'Zeile': 104, 'Text': '«Die Menschen sind faul», sage ich. «Willst du'}, {'Zeile': 105, 'Text': 'ihn kochen?»'}, {'Zeile': 106, 'Text': 'Sie winkt ab.'}, {'Zeile': 107, 'Text': '«Gut. Dann mache ich es.»'}, {'Zeile': 108, 'Text': 'Sie nickt und guckt verstohlen in die Tüte mit'}, {'Zeile': 109, 'Text': 'den Federn. «Ich wollte ihn eigentlich begra-'}, {'Zeile': 110, 'Text': 'ben.»'}, {'Zeile': 111, 'Text': '«Das hättest du vorher sagen sollen. Jetzt'}, {'Zeile': 112, 'Text': 'müsstest du die Federn dazulegen, damit ihn'}, {'Zeile': 113, 'Text': 'seine Leute im Himmel nicht auslachen.»'}, {'Zeile': 114, 'Text': 'Marja denkt nach.'}, {'Zeile': 115, 'Text': '«Ach, was soll’s. Du kochst ihn und gibst mir'}, {'Zeile': 116, 'Text': 'die Hälfte der Suppe.»'}, {'Zeile': 117, 'Text': 'Ich wusste, dass es so ausgehen würde, denn'}, {'Zeile': 118, 'Text': 'wir essen selten Fleisch, und Marja ist eine ver-'}, {'Zeile': 119, 'Text': 'fressene Person.'}, {'Zeile': 120, 'Text': 'Ich nicke und ziehe das verschrumpelte Lid'}, {'Zeile': 121, 'Text': 'über das glasige Auge des Hahns.'}, {'Zeile': 122, 'Text': 'Das mit dem Himmel habe ich nur so gesagt.'}, {'Zeile': 123, 'Text': 'Es bedeutet mir jedoch nichts. Das heisst, ich'}, {'Zeile': 124, 'Text': 'glaube schon an einen Himmel, der über unse-'}, {'Zeile': 125, 'Text': 'ren Köpfen ist, aber ich weiss, dass unsere To-'}, {'Zeile': 126, 'Text': 'ten nicht dort sind. Ich habe nicht einmal als'}, {'Zeile': 127, 'Text': 'kleines Mädchen daran geglaubt.'}]",13,Sprachprüfung ZAP2 (2019),kurz
